model,mae,rmse,r2,coefficients,feature_importances,type,columns
linear,1.471796834896026,2.0628528362506096,0.6155968775648837,"[2.1351200405627124, -1.656596862244109, 8.661578292692933, 1.7235873271002455, -8.608659275098685, 0.0347448939387279, 0.3436621116245093, 0.05122542024111354, 0.001008464821291799, 0.0076607438068617695]",,linear,"['distance_km', 'pickup_longitude', 'pickup_latitude', 'dropoff_longitude', 'dropoff_latitude', 'passenger_count', 'year', 'month', 'day', 'hour']"
rige,1.4717962457087765,2.0628535271131465,0.6155966200867387,"[2.13512362331247, -1.6525006849093553, 8.655494083010918, 1.719488981124708, -8.602577337228126, 0.03474478181127689, 0.3436623042879113, 0.05122548466082632, 0.0010084912487785917, 0.007660647353756079]",,linear,"['distance_km', 'pickup_longitude', 'pickup_latitude', 'dropoff_longitude', 'dropoff_latitude', 'passenger_count', 'year', 'month', 'day', 'hour']"
lasso,1.4760132148796996,2.0694416242941984,0.613137375386682,"[2.1365804807302564, -0.08465858055131874, 0.25680008605133253, 0.14857526843628838, -0.2072454914937031, 0.03469824202512833, 0.34363898036637924, 0.051369240289658696, 0.0010916716641087647, 0.0076267921807221094]",,linear,"['distance_km', 'pickup_longitude', 'pickup_latitude', 'dropoff_longitude', 'dropoff_latitude', 'passenger_count', 'year', 'month', 'day', 'hour']"
elastic,1.4760132162601638,2.069441625058987,0.6131373751007418,"[2.13658047065338, -0.08466061354918662, 0.2568003562185329, 0.1485772962719465, -0.20724576797904107, 0.03469824772342662, 0.34363898227745515, 0.051369241263674634, 0.0010916718258409776, 0.007626792464649119]",,linear,"['distance_km', 'pickup_longitude', 'pickup_latitude', 'dropoff_longitude', 'dropoff_latitude', 'passenger_count', 'year', 'month', 'day', 'hour']"
dtree,1.3781711924644464,1.960200178722418,0.6529026783179084,,"[0.8460607018847083, 0.0039083858045492045, 0.007024912769288545, 0.007854450354692923, 0.024570723305552405, 0.0005246298482019961, 0.07386880749572398, 0.007601741787049374, 0.0009572681042747823, 0.027628378645958587]",tree,"['distance_km', 'pickup_longitude', 'pickup_latitude', 'dropoff_longitude', 'dropoff_latitude', 'passenger_count', 'year', 'month', 'day', 'hour']"
rforest,1.2616697562392811,1.8224283720913772,0.6999792104512822,,"[0.6924779814109275, 0.03739104466456945, 0.03459483530792141, 0.041612698865062345, 0.04904181925941693, 0.00503031327870465, 0.06444279895355336, 0.019916459634841864, 0.019249041016342523, 0.03624300760866]",tree,"['distance_km', 'pickup_longitude', 'pickup_latitude', 'dropoff_longitude', 'dropoff_latitude', 'passenger_count', 'year', 'month', 'day', 'hour']"
gboosting,1.172630850875546,1.7309743284790449,0.7293352696026763,,"[0.685346669529878, 0.04400661811317187, 0.03959633128670648, 0.047202639125781855, 0.05461467014882492, 0.0031451970253851577, 0.0648382364678847, 0.015585697407314815, 0.012034800794716862, 0.03362914010033519]",tree,"['distance_km', 'pickup_longitude', 'pickup_latitude', 'dropoff_longitude', 'dropoff_latitude', 'passenger_count', 'year', 'month', 'day', 'hour']"
